date,home_team,away_team,home_goals,away_goals,competition
2024-08-12,Barcelona,Real Madrid,3,2,La Liga
2024-08-19,Liverpool,Chelsea,1,1,Premier League
2024-08-26,Bayern Munich,Borussia Dortmund,4,0,Bundesliga
2024-09-02,Juventus,AC Milan,2,2,Serie A
2024-09-09,PSG,Lyon,5,1,Ligue 1
2024-09-16,Manchester City,Arsenal,2,3,Premier League
2024-09-23,Atletico Madrid,Sevilla,0,0,La Liga
2024-09-30,Inter Milan,Napoli,1,2,Serie A
2024-10-07,Barcelona,Atletico Madrid,4,1,La Liga
2024-10-14,Real Madrid,Sevilla,2,0,La Liga
